"L'escargot de venus","L'escargot de venus","1975.0","Walerian Borowczyk","3.0","2006-04-05 10:49:02",""
"Se & inse","Se & inse","2005.0","Kolbjörn Guwallius, Styrbjörn Monke","3.0","2006-03-11 11:18:00",""
"Varför är det så mycket svart?","Varför är det så mycket svart?","1988.0","Max Andersson","3.0","2006-01-10 20:35:29",""
"Spik-bebis","Spik-bebis","1987.0","Max Andersson","4.0","2006-01-10 20:30:43",""
"Fluxfilm 39: Le Traversée du port de Nice à la nage","Fluxfilm 39: Le Traversée du port de Nice à la nage","1963.0","Ben Vautier","1.0","2005-12-20 00:03:00",""
"Fluxfilm 41: Regardez-moi, cela suffit","Fluxfilm 41: Regardez-moi, cela suffit","1962.0","Ben Vautier","1.0","2005-12-20 00:02:30",""
"Fluxfilm 40: Faire un effort","Fluxfilm 40: Faire un effort ","1969.0","Ben Vautier","2.0","2005-12-20 00:02:17",""
"Fluxfilm 38: Je ne vois rien, je n'entends rien, je ne dis rien","Fluxfilm 38: Je ne vois rien, je n'entends rien, je ne dis rien","1966.0","Ben Vautier","1.0","2005-12-20 00:01:44",""
"Erection","Erection","1971.0","John Lennon, Yoko Ono","1.0","2005-12-01 02:15:03",""
"Rebellerna","Rebellerna","2005.0","Bosse Lindquist","2.0","2005-12-01 01:09:53",""
"Death Sled 2: Steel Belted Romeos","Death Sled 2: Steel Belted Romeos","1991.0","Danny Plotnick","1.0","2005-11-25 16:06:31",""
"Blindgångare","Blindgångare","2005.0","Pernilla August","2.0","2005-11-25 13:07:32",""
"P.E.O.Z.","P.E.O.Z.","2005.0","Christo Petrou","2.0","2005-11-23 01:39:15",""
"Tête de chou","Tête de chou","2001.0","Stephane Secq","3.0","2005-11-07 14:43:54",""
"Memento Mori","Memento Mori","1981.0","Stefan Jarl","3.0","2005-03-26 22:34:23",""
"Ricky and Rocky","Ricky and Rocky","1972.0","Tom Palazzolo, Jeff Kreines","2.0","2005-01-06 12:55:32",""
"The Tunnel","Ano Tonnero","2004.0","Kunitoshi Manda","3.0","2004-11-24 09:54:02",""
"The Mood","The Mood","2004.0","Fredrik Bond","2.0","2004-11-24 09:53:13",""
"Ragnars defekt","Ragnars defekt","2003.0","Henrik Möller","3.0","2004-11-11 03:16:13",""
"Rufus","Rufus","1999.0","Henrik Möller","3.0","2004-11-11 03:15:53",""
"Rufus pappa","Rufus pappa","2000.0","Henrik Möller","3.0","2004-11-11 03:15:45",""
"Ångesthunden","Ångesthunden","2004.0","Henrik Möller","3.0","2004-11-11 02:56:10",""
"Pipsqueak Pfollies","Pipsqueak Pfollies","1994.0","Danny Plotnick","3.0","2004-11-03 01:18:23",""
"Half Life","Half Life","2003.0","Luke Jacobs","2.0","2004-09-23 13:50:24",""
"The Running Fishgutter","The Running Fishgutter","2003.0","Jesper Zwartjes","3.0","2004-09-21 11:40:45",""
"Spegeln","Spegeln","2002.0","Annica Malmquist","2.0","2004-06-30 18:31:14",""
"Liten ful gul","Liten ful gul","2000.0","Elin Åhlund, Peter Gustafson","2.0","2004-04-27 14:38:10",""
"Red Nightmare","Red Nightmare","1962.0","George Waggner","3.0","2004-04-04 17:34:52",""
"The Fall of Icarus","The Fall of Icarus","2003.0","Jurij Shiller","3.0","2004-02-04 10:55:53",""
"The New Flowers of Beijing","The New Flowers of Beijing","2002.0","Lisa Partby","3.0","2003-11-30 17:07:26",""
"Red Gourmet Pellzik","Red Gourmet Pellzik","2001.0","Andreas Samland","2.0","2002-09-30 11:55:05",""
